Product Code,Product Description,Product Category Code,Tharisa PLC (1),Main Catagory (2),Sub Area (3),Product Category Description,Plant Area (4),STAT GROUP (5),STAT GROUP (6),STAT GROUP (7),STAT GROUP (8),Item Status,Statistical Group Code, Statistical Group Code Description , Bin Location , Bin Location Type , Quantity On Order , Stock On Hand , Max Stock QTY , Reorder QTY , Safety Stock QTY ,Moving Average Price, Total Value of Item 
160200335,TRIP MODULE - LV429122 MA 25,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ17402 , RACAR , -   ,2,2, -   , R 1.00 ,$509.72 ,"1,019.44"
160200336,TRIP UNIT - LV429123 3P3D MA 12.5,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ17403 , RACAR , -   ,2,2, -   , R 1.00 ,$509.72 ,"1,019.44"
160200337,"TRIP MODULE - LV429124  MA 6,3",1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ17404 , RACAR , -   ,2,2, -   , R 1.00 ,$509.72 ,"1,019.44"
160200338,"TRIP UNIT - LV429125  MA 2,5",1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ17406 , RACAR , -   ,2,2, -   , R 1.00 ,$509.72 ,"1,019.44"
160200339,ROTARY HANDLE - LV429338,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ17405 , RACAR , -   ,4,4, -   , R 2.00 ,$845.36 ,"3,381.44"
160200340,MX 110-130V 50/60Hz - LV429386 - SHUNT TRIP RELAY,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,CRI, Critical Stock , AJ16402 , RACAR , -   ,4,4, -   , R 2.00 ,$637.77 ,"2,551.08"
160200341,NSX160L WITHOUT TRIP UNIT - LV430405 3P,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ16401 , RACAR , -   ,2,2, -   , R 1.00 ,"$4,132.52 ","8,265.04"
160200342,TRIP UNIT FOR NSX - LV430430 3P3D TM160D,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ16403 , RACAR , -   ,2,2, -   , R 1.00 ,$907.42 ,"1,814.84"
160200343,NSX250L WITHOUT TRIP UNIT - LV431405 3P,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ16404 , RACAR , -   ,1,2, -   , R 1.00 ,"$5,691.49 ","5,691.49"
160200344,TRIP UNIT - LV431430 TM250D,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ16405 , RACAR , -   ,1,2, -   , R 1.00 ,"$1,924.18 ","1,924.18"
160200345,TRIP UNIT FOR NSX - LV431431 3P3D TM200D`,1602,Plant WH1,General,Consumables,Consumables - Electrical,Trip,N/A 3,N/A 2,N/A 1,,Active,CRI, Critical Stock , AJ16406 , RACAR , -   ,2,2, -   , R 1.00 ,"$1,750.37 ","3,500.73"
160200346,LV431500 3P3D MA220 - OVERLOAD,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ16407 , RACAR , -   ,2,2, -   , R 1.00 ,"$1,286.06 ","2,572.12"
160200347,NSX400L WITHOUT TRIP UNIT - LV432405 3P,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ16408 , RACAR , -   ,1,1, -   , R 1.00 ,"$8,156.67 ","8,156.67"
160200348,HANDLE - LV432598 VD,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ15401 , RACAR , -   ,2,1, -   , R 1.00 ,"$1,134.74 ","2,269.48"
